"","cell_age","cell_type"
"old_ST_HSC_133","old","ST"
"old_ST_HSC_137","old","ST"
"old_ST_HSC_138","old","ST"
"old_ST_HSC_139","old","ST"
"old_ST_HSC_140","old","ST"
"old_ST_HSC_141","old","ST"
"old_ST_HSC_142","old","ST"
"old_ST_HSC_143","old","ST"
"old_ST_HSC_144","old","ST"
"old_ST_HSC_146","old","ST"
"old_ST_HSC_147","old","ST"
"old_ST_HSC_148","old","ST"
"old_ST_HSC_145","old","ST"
"old_ST_HSC_149","old","ST"
"old_ST_HSC_150","old","ST"
"old_ST_HSC_151","old","ST"
"old_ST_HSC_152","old","ST"
"old_ST_HSC_153","old","ST"
"old_ST_HSC_154","old","ST"
"old_ST_HSC_155","old","ST"
"old_ST_HSC_156","old","ST"
"old_ST_HSC_170","old","ST"
"old_ST_HSC_171","old","ST"
"old_ST_HSC_172","old","ST"
"old_ST_HSC_169","old","ST"
"old_ST_HSC_173","old","ST"
"old_ST_HSC_174","old","ST"
"old_ST_HSC_175","old","ST"
"old_ST_HSC_176","old","ST"
"old_ST_HSC_177","old","ST"
"old_ST_HSC_179","old","ST"
"old_ST_HSC_180","old","ST"
"old_ST_HSC_182","old","ST"
"old_ST_HSC_183","old","ST"
"old_ST_HSC_181","old","ST"
"old_ST_HSC_185","old","ST"
"old_ST_HSC_186","old","ST"
"old_ST_HSC_187","old","ST"
"old_ST_HSC_188","old","ST"
"old_ST_HSC_189","old","ST"
"old_ST_HSC_190","old","ST"
"old_ST_HSC_191","old","ST"
"old_ST_HSC_192","old","ST"
"old_ST_HSC_62","old","ST"
"old_ST_HSC_63","old","ST"
"old_ST_HSC_64","old","ST"
"old_ST_HSC_61","old","ST"
"old_ST_HSC_65","old","ST"
"old_ST_HSC_66","old","ST"
"old_ST_HSC_67","old","ST"
"old_ST_HSC_68","old","ST"
"old_ST_HSC_69","old","ST"
"old_ST_HSC_70","old","ST"
"old_ST_HSC_71","old","ST"
"old_ST_HSC_72","old","ST"
"old_ST_HSC_158","old","ST"
"old_ST_HSC_159","old","ST"
"old_ST_HSC_160","old","ST"
"old_ST_HSC_157","old","ST"
"old_ST_HSC_161","old","ST"
"old_ST_HSC_162","old","ST"
"old_ST_HSC_163","old","ST"
"old_ST_HSC_164","old","ST"
"old_ST_HSC_165","old","ST"
"old_ST_HSC_166","old","ST"
"old_ST_HSC_167","old","ST"
"old_ST_HSC_168","old","ST"
"old_MPP_2","old","MPP"
"old_MPP_4","old","MPP"
"old_MPP_1","old","MPP"
"old_MPP_5","old","MPP"
"old_MPP_6","old","MPP"
"old_MPP_7","old","MPP"
"old_MPP_8","old","MPP"
"old_MPP_9","old","MPP"
"old_MPP_10","old","MPP"
"old_MPP_11","old","MPP"
"old_MPP_12","old","MPP"
"old_MPP_14","old","MPP"
"old_MPP_15","old","MPP"
"old_MPP_16","old","MPP"
"old_MPP_13","old","MPP"
"old_MPP_17","old","MPP"
"old_MPP_18","old","MPP"
"old_MPP_19","old","MPP"
"old_MPP_20","old","MPP"
"old_MPP_21","old","MPP"
"old_MPP_22","old","MPP"
"old_MPP_23","old","MPP"
"old_MPP_24","old","MPP"
"old_MPP_26","old","MPP"
"old_MPP_27","old","MPP"
"old_MPP_28","old","MPP"
"old_MPP_25","old","MPP"
"old_MPP_29","old","MPP"
"old_MPP_30","old","MPP"
"old_MPP_31","old","MPP"
"old_MPP_32","old","MPP"
"old_MPP_33","old","MPP"
"old_MPP_34","old","MPP"
"old_MPP_35","old","MPP"
"old_MPP_36","old","MPP"
"old_MPP_38","old","MPP"
"old_MPP_39","old","MPP"
"old_MPP_40","old","MPP"
"old_MPP_37","old","MPP"
"old_MPP_41","old","MPP"
"old_MPP_42","old","MPP"
"old_MPP_43","old","MPP"
"old_MPP_44","old","MPP"
"old_MPP_45","old","MPP"
"old_MPP_46","old","MPP"
"old_MPP_47","old","MPP"
"old_MPP_48","old","MPP"
"old_MPP_50","old","MPP"
"old_MPP_51","old","MPP"
"old_MPP_52","old","MPP"
"old_MPP_49","old","MPP"
"old_MPP_53","old","MPP"
"old_MPP_54","old","MPP"
"old_MPP_55","old","MPP"
"old_MPP_56","old","MPP"
"old_MPP_57","old","MPP"
"old_MPP_58","old","MPP"
"old_MPP_59","old","MPP"
"old_MPP_60","old","MPP"
"old_MPP_74","old","MPP"
"old_MPP_75","old","MPP"
"old_MPP_76","old","MPP"
"old_MPP_73","old","MPP"
"old_MPP_77","old","MPP"
"old_MPP_78","old","MPP"
"old_MPP_79","old","MPP"
"old_MPP_80","old","MPP"
"old_MPP_81","old","MPP"
"old_MPP_83","old","MPP"
"old_MPP_84","old","MPP"
"old_MPP_86","old","MPP"
"old_MPP_87","old","MPP"
"old_MPP_88","old","MPP"
"old_MPP_85","old","MPP"
"old_MPP_89","old","MPP"
"old_MPP_90","old","MPP"
"old_MPP_91","old","MPP"
"old_MPP_92","old","MPP"
"old_MPP_93","old","MPP"
"old_MPP_94","old","MPP"
"old_MPP_95","old","MPP"
"old_MPP_98","old","MPP"
"old_MPP_99","old","MPP"
"old_MPP_100","old","MPP"
"old_MPP_97","old","MPP"
"old_MPP_101","old","MPP"
"old_MPP_102","old","MPP"
"old_MPP_103","old","MPP"
"old_MPP_104","old","MPP"
"old_MPP_106","old","MPP"
"old_MPP_107","old","MPP"
"old_MPP_108","old","MPP"
"old_MPP_110","old","MPP"
"old_MPP_111","old","MPP"
"old_MPP_112","old","MPP"
"old_MPP_109","old","MPP"
"old_MPP_113","old","MPP"
"old_MPP_114","old","MPP"
"old_MPP_115","old","MPP"
"old_MPP_116","old","MPP"
"old_MPP_117","old","MPP"
"old_MPP_118","old","MPP"
"old_MPP_119","old","MPP"
"old_MPP_120","old","MPP"
"old_MPP_122","old","MPP"
"old_MPP_123","old","MPP"
"old_MPP_124","old","MPP"
"old_MPP_121","old","MPP"
"old_MPP_125","old","MPP"
"old_MPP_126","old","MPP"
"old_MPP_127","old","MPP"
"old_MPP_128","old","MPP"
"old_MPP_129","old","MPP"
"old_MPP_130","old","MPP"
"old_MPP_131","old","MPP"
"old_MPP_132","old","MPP"
"old_MPP_134","old","MPP"
"old_MPP_135","old","MPP"
"old_MPP_136","old","MPP"
"old_MPP_133","old","MPP"
"old_MPP_137","old","MPP"
"old_MPP_138","old","MPP"
"old_MPP_139","old","MPP"
"old_MPP_140","old","MPP"
"old_MPP_141","old","MPP"
"old_MPP_142","old","MPP"
"old_MPP_143","old","MPP"
"old_MPP_144","old","MPP"
"old_MPP_146","old","MPP"
"old_MPP_147","old","MPP"
"old_MPP_148","old","MPP"
"old_MPP_145","old","MPP"
"old_MPP_149","old","MPP"
"old_MPP_150","old","MPP"
"old_MPP_151","old","MPP"
"old_MPP_152","old","MPP"
"old_MPP_153","old","MPP"
"old_MPP_154","old","MPP"
"old_MPP_155","old","MPP"
"old_MPP_156","old","MPP"
"old_MPP_170","old","MPP"
"old_MPP_171","old","MPP"
"old_MPP_172","old","MPP"
"old_MPP_169","old","MPP"
"old_MPP_173","old","MPP"
"old_MPP_174","old","MPP"
"old_MPP_175","old","MPP"
"old_MPP_176","old","MPP"
"old_MPP_177","old","MPP"
"old_MPP_178","old","MPP"
"old_MPP_179","old","MPP"
"old_MPP_180","old","MPP"
